component,layer,head,ap_impact_pd,ct_rescue_pd,combined_score
L10H11,10,11,-0.001203661284795654,0.0022127388454064034,0.00016289876728516897
L1H2,1,2,-0.001206158137902924,-0.0008989608869319765,-0.0010832792375145449
L3H14,3,14,-0.0012291764340749411,0.00028818118862994346,-0.0006222333849929873
L5H14,5,14,-0.0012471276085550542,-0.0009123050585024828,-0.0011131985885340255
L3H6,3,6,-0.0012601744837876794,-0.0007395279116746423,-0.0010519158549424645
L5H0,5,0,-0.0012689305514823612,-0.0010611233187884928,-0.0011858076584048138
L3H10,3,10,-0.0012791694664373576,-0.0010816992782964885,-0.0012001813911810101
L2H12,2,12,-0.00128959591795752,-0.0009254013619771628,-0.001143918095565377
L4H5,4,5,-0.001302227741334483,-0.0010513626947635801,-0.0012018817227061219
L0H14,0,14,-0.0013244370134865013,-0.0010020667459906818,-0.0011954889064881736
L1H14,1,14,-0.0013956035055765481,-0.0010571545217096245,-0.0012602239120297787
L4H2,4,2,-0.0014372169971466064,-0.001041971328781921,-0.0012791187298007323
L8H12,8,12,-0.0014458371371757206,-0.0009150236118130595,-0.0012335117270306562
L0H15,0,15,-0.0014616578090481669,-0.0011002886586073402,-0.001317110148871836
L5H6,5,6,-0.001461934752580607,-0.0010639276446365864,-0.0013027319094029988
L23H8,23,8,-0.0014744902529367776,-0.0013572544586367696,-0.0014275959352167745
L1H3,1,3,-0.001480000048148855,-0.001265463305682668,-0.0013941853511623802
L2H0,2,0,-0.0015050238225517987,-0.0008003493634666237,-0.0012231540389177286
L4H3,4,3,-0.0015051844643383383,-0.0008847844309922692,-0.0012570244509999106
L0H2,0,2,-0.0015082511960006206,-0.0009935563657341717,-0.001302373263894041
L0H12,0,12,-0.0015248612659732874,-0.0010747865932743128,-0.0013448313968936975
L13H12,13,12,-0.0015283575872095945,-0.005046004929193715,-0.0029354165240032424
L16H11,16,11,-0.0015362559295282185,-0.0010835448416268711,-0.0013551714943676797
L12H2,12,2,-0.0015493289726535853,-0.0007989653726903079,-0.0012491835326682741
L0H8,0,8,-0.0015586171208358257,-0.0008286855569700213,-0.0012666444952895038
L18H10,18,10,-0.001580577798006022,-0.002377401037914062,-0.001899307093969238
L0H4,0,4,-0.0015963403190054626,-0.0011270547785410256,-0.0014086261028196877
L21H13,21,13,-0.0016175493961426701,-0.0012965064223219303,-0.0014891322066143743
L3H3,3,3,-0.0016263076444951174,-0.0008582138433689268,-0.0013190701240446412
L7H15,7,15,-0.0016366468697058822,-0.0013396129375550236,-0.0015178332968455387
L0H10,0,10,-0.0016430645454220683,-0.0010430834642271014,-0.0014030721129440814
L9H2,9,2,-0.0016682758563901778,-0.0033279228501202907,-0.002332134653882223
L18H9,18,9,-0.0016685746065000506,-0.0008457303047180176,-0.0013394368857872372
L21H4,21,4,-0.0016695864316893516,-0.0013496097995013834,-0.0015415957788141642
L14H10,14,10,-0.001720216216110626,-0.0020203481360180353,-0.00184026898407359
L7H5,7,5,-0.0017222405933752238,-7.918767812775673e-05,-0.0010650194272762371
L0H9,0,9,-0.0017230706970865484,-0.0011661321651644796,-0.0015002952843177209
L11H3,11,3,-0.001741611376041341,-0.0012411984001717835,-0.001541446185693518
L5H3,5,3,-0.001758130585275075,-0.0011130484139048047,-0.0015000977167269668
L4H7,4,7,-0.00176549103201884,-0.0012233562585783897,-0.0015486371226426598
L3H5,3,5,-0.0018372717427044272,-0.001277414036960134,-0.00161332866040671
L27H10,27,10,-0.0018832371002289738,-0.0015108956069480595,-0.001734300502916608
L0H3,0,3,-0.0018891713968137713,-0.0011919177160031325,-0.0016102699244895159
L3H1,3,1,-0.00192028574827241,-0.002289356981835744,-0.002067914241697744
L2H13,2,13,-0.0019231162420133563,-0.0012853385471717216,-0.0016680051640767023
L2H3,2,3,-0.001925528776354879,-0.0012760707517949221,-0.0016657455665308961
L4H6,4,6,-0.001935026267679718,-0.0014146137528303626,-0.001726861261739976
L0H0,0,0,-0.0019362721501327007,-0.0013090786410541178,-0.0016853947465012675
L27H3,27,3,-0.001975801659793386,-0.0015176440157541604,-0.0017925386021776955
L2H2,2,2,-0.001991170208628601,-0.001089774980777669,-0.0016306121174882282
L14H4,14,4,-0.0020083247161493123,-0.0001151430897596839,-0.001251052065593461
L23H9,23,9,-0.0020113427464554245,-0.0015291695187731325,-0.0018184734553825077
L22H0,22,0,-0.0020183768214249165,-0.00350172127165449,-0.002611714601516746
L21H7,21,7,-0.0020351293610363363,-0.0013584923453446862,-0.0017644745547596762
L23H2,23,2,-0.0020401303361101686,-0.0014550838528609722,-0.00180611174281049
L24H8,24,8,-0.0020483688610355433,-0.0013802952882719932,-0.0017811394319301233
L1H11,1,11,-0.0020672170127310485,-0.0013609404970960082,-0.0017847064064770324
L21H6,21,6,-0.0020742103820893254,-0.001285034708860433,-0.0017585401127977684
L6H2,6,2,-0.0020948510344435123,-0.0014809086555387374,-0.0018492740828816023
L27H11,27,11,-0.0021028707667094526,-0.0013944143202246906,-0.0018194881881155476
L2H5,2,5,-0.0021105372324222715,-0.0009804658773469033,-0.001658508690392124
