clean_hit,corr_non,pair_success,pd_base,pd_suff,pd_nec,recovery,nec_drop
0.8353658536585366,0.8109756097560976,0.6463414634146342,0.5891741710465129,0.45770839074762854,-0.02982915501768995,0.7768643182946278,0.6190033260642028
0.8536585365853658,0.8292682926829268,0.6829268292682927,0.5994553675011891,0.4464825006519876,-0.029026368042317823,0.7448135838909761,0.628481735543507
0.8597560975609756,0.8475609756097561,0.7073170731707317,0.595435702582685,0.454241156214621,-0.025258951797717945,0.762871883972695,0.6206946543804029
0.8963414634146342,0.8170731707317073,0.7134146341463414,0.6032011857846888,0.45344875571204396,-0.028533002952250024,0.7517371755849791,0.6317341887369389
0.8902439024390244,0.8048780487804879,0.6951219512195121,0.5836711100688795,0.42400649517047695,-0.026824173040506306,0.7264476309607188,0.6104952831093858
0.8841463414634146,0.774390243902439,0.6585365853658537,0.5976403679062681,0.4599284249834898,-0.03436702090065653,0.7695738937347918,0.6320073888069246
0.8658536585365854,0.7865853658536586,0.6524390243902439,0.6122665994051026,0.4675002774087394,-0.03644904385252696,0.7635567216343563,0.6487156432576296
0.8597560975609756,0.8170731707317073,0.676829268292683,0.5834779412281222,0.4415876058543601,-0.024076552289288202,0.7568197092835012,0.6075544935174104
0.8719512195121951,0.8719512195121951,0.7439024390243902,0.6050949365627475,0.45106703333738374,-0.02647044854920083,0.7454483686459724,0.6315653851119483
0.7987804878048781,0.8658536585365854,0.6646341463414634,0.563578361781632,0.4544513505406496,-0.026867219587651685,0.8063676346678621,0.5904455813692837
0.8597560975609756,0.8292682926829268,0.6890243902439024,0.5885888647015501,0.43350909577637187,-0.029538782994921593,0.7365227610879973,0.6181276476964718
0.8536585365853658,0.8597560975609756,0.7134146341463414,0.608603835105896,0.48933729602069387,-0.0275110627819852,0.80403255417335,0.6361148978878812
0.8902439024390244,0.823170731707317,0.7134146341463414,0.6275427167008563,0.4695948282393014,-0.026815206539340126,0.7483073514219504,0.6543579232401964
0.8963414634146342,0.8475609756097561,0.7439024390243902,0.6218606767857947,0.47468562642248663,-0.03125122407587562,0.7633311514007066,0.6531119008616704
0.8902439024390244,0.8353658536585366,0.725609756097561,0.6192831985834168,0.49038821967636664,-0.027736371610222778,0.7918642404594801,0.6470195701936396
0.8780487804878049,0.8475609756097561,0.725609756097561,0.6161248723908168,0.48308358941136337,-0.028353175375519717,0.7840676639721055,0.6444780477663365
0.8780487804878049,0.8475609756097561,0.725609756097561,0.6180805974617237,0.4821596374598945,-0.02827367622677872,0.7800918511909337,0.6463542736885024
0.8780487804878049,0.8719512195121951,0.75,0.6285756579259547,0.4661608629110383,-0.026664904704908034,0.7416145646626516,0.6552405626308627
0.8475609756097561,0.7865853658536586,0.6341463414634146,0.5867449713916313,0.46250683141917714,-0.03463545805070457,0.7882587051771802,0.6213804294423358
0.8170731707317073,0.8597560975609756,0.676829268292683,0.5901348870701906,0.43930289403694434,-0.025786897031272318,0.7444109874899657,0.6159217841014629
0.8536585365853658,0.8658536585365854,0.7195121951219512,0.6128149341519286,0.48544730827575777,-0.025721582334216037,0.7921597226522779,0.6385365164861446
0.9024390243902439,0.8658536585365854,0.7682926829268293,0.6194973268160006,0.46975750676015526,-0.023839533329009992,0.7582881901586019,0.6433368601450106
0.8780487804878049,0.8414634146341463,0.7195121951219512,0.6083300331743752,0.47575303621408416,-0.02636693636091743,0.78206402818999,0.6346969695352926
0.8170731707317073,0.8536585365853658,0.6707317073170732,0.5956465420199604,0.4559837456156568,-0.026178481738741793,0.7655273949355205,0.6218250237587022
0.8719512195121951,0.8536585365853658,0.725609756097561,0.6030333547330484,0.4623233337954777,-0.02968340276218041,0.7666629551517476,0.6327167574952288
0.8658536585365854,0.8536585365853658,0.7195121951219512,0.6095500766504102,0.46481438926080376,-0.030420946638758575,0.7625532455254239,0.6399710232891688
