q,p_clean,p_corr,p_suff_best,p_nec_best
113,0.68017578125,0.072265625,0.7060546875,0.039642333984375
114,0.96728515625,0.46484375,0.96875,0.31982421875
115,0.482666015625,0.0024585723876953,0.161865234375,0.001453399658203125
116,0.98876953125,0.9443359375,0.98876953125,0.9228515625
117,0.221923828125,0.0010232925415039,0.1732177734375,0.0007891654968261719
118,0.869140625,0.119140625,0.8544921875,0.079345703125
119,0.68896484375,0.0056991577148437,0.3349609375,0.003765106201171875
120,0.0002049207687377,9.85860824584961e-05,0.014434814453125,6.74128532409668e-05
121,0.92578125,5.525350570678711e-05,0.059722900390625,7.37905502319336e-05
122,0.93359375,0.03643798828125,0.6591796875,0.02459716796875
123,0.9296875,0.0258026123046875,0.77197265625,0.01380157470703125
124,0.98974609375,0.4443359375,0.94140625,0.380859375
125,0.96435546875,0.470947265625,0.89599609375,0.29736328125
126,0.673828125,0.0643310546875,0.80517578125,0.031005859375
127,0.982421875,0.51953125,0.93017578125,0.404541015625
128,0.9775390625,0.6767578125,0.943359375,0.60595703125
129,0.86083984375,0.0286712646484375,0.75732421875,0.016937255859375
130,0.9521484375,0.401123046875,0.91162109375,0.3720703125
131,0.9912109375,0.1407470703125,0.88427734375,0.1087646484375
132,0.96484375,0.48583984375,0.935546875,0.32470703125
133,0.52001953125,0.1400146484375,0.900390625,0.07415771484375
134,0.685546875,0.043731689453125,0.6708984375,0.0278778076171875
135,0.1607666015625,0.0047607421875,0.465087890625,0.002758026123046875
136,0.7861328125,0.0280303955078125,0.55908203125,0.0200958251953125
137,0.72021484375,0.0113449096679687,0.8447265625,0.00566864013671875
138,0.86767578125,0.173583984375,0.8916015625,0.087646484375
139,0.4541015625,0.0401611328125,0.57958984375,0.019012451171875
140,0.88671875,0.08575439453125,0.85302734375,0.0731201171875
141,0.984375,0.17724609375,0.9306640625,0.10784912109375
142,0.9814453125,0.254638671875,0.91748046875,0.1739501953125
143,0.91943359375,0.0882568359375,0.82763671875,0.07415771484375
144,0.91162109375,0.0003085136413574,0.370849609375,0.0002015829086303711
145,0.03533935546875,0.0031986236572265,0.3603515625,0.0015993118286132812
146,0.73486328125,0.09417724609375,0.677734375,0.061553955078125
147,0.249755859375,0.0003523826599121,0.1907958984375,0.00017964839935302734
148,0.479248046875,0.0252838134765625,0.47119140625,0.020355224609375
149,0.95556640625,0.168701171875,0.91015625,0.10601806640625
150,0.63232421875,0.0013818740844726,0.388916015625,0.0010461807250976562
151,0.564453125,0.0027828216552734,0.1566162109375,0.00206756591796875
152,0.83642578125,0.09405517578125,0.87646484375,0.0634765625
153,0.98876953125,0.11785888671875,0.86474609375,0.10260009765625
154,0.99169921875,0.94189453125,0.9912109375,0.8974609375
155,0.485595703125,0.0056419372558593,0.391845703125,0.003734588623046875
156,0.86572265625,0.039031982421875,0.57421875,0.020172119140625
157,0.93359375,0.101318359375,0.8642578125,0.057708740234375
158,0.72900390625,0.0015621185302734,0.329345703125,0.0013561248779296875
159,0.06439208984375,0.0040855407714843,0.21923828125,0.002124786376953125
160,0.99365234375,0.8837890625,0.98388671875,0.80859375
161,0.814453125,0.0086898803710937,0.6572265625,0.00469207763671875
162,0.826171875,0.0073318481445312,0.6474609375,0.004322052001953125
163,0.6640625,0.0075187683105468,0.27294921875,0.00402069091796875
164,0.8916015625,0.0070915222167968,0.69921875,0.0060272216796875
